기업명,문의 일자,진행 날짜,상태,진행 팀,담당자,문의경로,공간,디자인 팀,"제안서, 견적서"
LG전자 서초캠퍼스,2025-04-03,,취소,기획조정팀,,홈페이지,,,
한국심장재단,2025-04-03,,취소,기획조정2팀,조민채,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/67ef6e4e847f71481519a5ba/download, https://task-api.office.hiworks.com/v1/attached-files/67ef6e4e847f71481519a5bb/download"
한국도로교통공단,2025-04-04,2025-05-29,진행 완료,기획조정팀,,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/67ef432436f4ec51655a5be7/download, https://task-api.office.hiworks.com/v1/attached-files/67ef432436f4ec51655a5be8/download"
한국능률협회컨설팅,2025-04-04,,취소,기획조정팀,,홈페이지,,,
기업명 미공개,2025-04-04,,취소,기획조정2팀,조민채,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/6814239455424e308610b792/download, https://task-api.office.hiworks.com/v1/attached-files/6814239955424e308610b795/download"
과천문화재단,2025-04-07,,연기,기획조정1팀,이서호,전화,,,
BGF로지스,2025-04-07,2025-05-28,진행 완료,기획조정1팀,이서호,개인,,,
BGF로지스,2025-04-07,2025-05-28,진행 완료,기획조정1팀,이서호,개인,,,
(주)솔리데오,2025-04-07,,취소,기획조정1팀,이서호,홈페이지,,,
교육부,2025-04-08,2025-05-13,진행 완료,기획조정2팀,조민채,,,디자인 확정 완료,"https://task-api.office.hiworks.com/v1/attached-files/67f4bf8c75ed174243633891/download, https://task-api.office.hiworks.com/v1/attached-files/680f059dda43d57ba5fb368f/download"
에스엘,2025-04-09,,취소,기획조정2팀,조민채,,,,"https://task-api.office.hiworks.com/v1/attached-files/67f85a29dae98e2bc4acbc1c/download, https://task-api.office.hiworks.com/v1/attached-files/67f85a29dae98e2bc4acbc1d/download"
강남구의회,2025-04-10,,취소,기획조정2팀,문서인,전화,,,
퀄컴,2025-04-10,2025-06-26,진행 완료,기획조정1팀,조민채,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/6848ea86d6127804840e49b9/download, https://task-api.office.hiworks.com/v1/attached-files/685de06b82f5514f07342b7d/download"
삼성,2025-04-10,,취소,기획조정2팀,문서인,전화,,,
과천문화재단,2025-04-10,2025-05-19,진행 완료,기획조정2팀,문서인,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/680f02c1bbcc28186d4c9a4d/download, https://task-api.office.hiworks.com/v1/attached-files/680f02d76378370477d78507/download"
모빌코리아/에쏘석유코리아,2025-04-10,2025-05-21,진행 완료,기획조정2팀,문서인,홈페이지,,,
KT 클라우드,2025-04-07,2025-05-22,진행 완료,기획조정2팀,문서인,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/67f86f6adae98e2bc4acbeb6/download, https://task-api.office.hiworks.com/v1/attached-files/67f86f6adae98e2bc4acbeb7/download, https://task-api.office.hiworks.com/v1/attached-files/67f86f6adae98e2bc4acbeb8/download"
엔엑스쓰리게임즈,2025-04-11,,취소,기획조정2팀,"안광열, 문서인",홈페이지,,,
LG AI연구원,2025-04-14,,취소,기획조정2팀,,홈페이지,,,
KT 대리점,2025-04-16,,취소,기획조정2팀,문서인,홈페이지,,,
강동구청 민원행정과,2025-04-16,2025-05-16,진행 완료,기획조정2팀,"안광열, 문서인",개인,,,
카카오엔터테인먼트,2025-04-21,,취소,기획조정1팀,조민채,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/6814242ffdc93e5fae786d68/download, https://task-api.office.hiworks.com/v1/attached-files/68142433fdc93e5fae786d6b/download"
에너콘코리아,2025-04-21,2025-05-29,진행 완료,기획조정2팀,조민채,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/6821ac9bfdc93e5fae78c6bf/download, https://task-api.office.hiworks.com/v1/attached-files/6821ac9f08b34f35a515f05d/download"
레드캡마이스,2025-04-22,2025-06-19,진행 완료,기획조정1팀,조민채,홈페이지,,,https://task-api.office.hiworks.com/v1/attached-files/682bd965130da262f4a7f355/download
농림축산검역본부,2025-04-22,2025-06-19,진행 완료,기획조정2팀,"안광열, 문서인",홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/680738b02045b65e32d327cb/download, https://task-api.office.hiworks.com/v1/attached-files/680738b02045b65e32d327cc/download"
BGF로지스,2025-04-22,2025-05-20,진행 완료,기획조정1팀,이서호,개인,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6807538a2045b65e32d32a63/download, https://task-api.office.hiworks.com/v1/attached-files/6807538a2045b65e32d32a64/download"
(주)삼일화스너,2025-04-21,2025-06-13,진행 완료,기획조정1팀,이서호,카카오톡,,디자인 요청,"https://task-api.office.hiworks.com/v1/attached-files/680753e82045b65e32d32a77/download, https://task-api.office.hiworks.com/v1/attached-files/680753e82045b65e32d32a78/download"
성남시정신건강복지센터,2025-04-23,2025-10-29,진행 완료,기획조정팀,이서호,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/6833b77d500dc948b1b5d00c/download, https://task-api.office.hiworks.com/v1/attached-files/6833b77d500dc948b1b5d00d/download, https://task-api.office.hiworks.com/v1/attached-files/6877232380544566868c1967/download, https://task-api.office.hiworks.com/v1/attached-files/6877232380544566868c1968/download"
한국무사시도료,2025-04-23,,취소,기획조정팀,이서호,카카오톡,,,"https://task-api.office.hiworks.com/v1/attached-files/68086db60c6f4473ec7858cb/download, https://task-api.office.hiworks.com/v1/attached-files/68086db60c6f4473ec7858cc/download"
포스코인터내셔널,2025-04-21,,취소,기획조정1팀,,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68086ebbc802c5662b31745b/download, https://task-api.office.hiworks.com/v1/attached-files/68086ebbc802c5662b31745c/download"
한국보육진흥원,2025-04-23,2025-05-09,진행 완료,기획조정팀,안광열,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/680f06f9da43d57ba5fb36ce/download, https://task-api.office.hiworks.com/v1/attached-files/680f06f9da43d57ba5fb36cf/download"
NHR,2025-04-23,,취소,기획조정팀,안광열,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/680f054ada43d57ba5fb3679/download, https://task-api.office.hiworks.com/v1/attached-files/680f054ada43d57ba5fb367a/download"
페이민트,2025-04-24,2025-06-20,진행 완료,기획조정1팀,조민채,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68141e3c55424e308610b6e8/download, https://task-api.office.hiworks.com/v1/attached-files/68591c8d33a37b7e88160dc6/download"
볼보파이낸셜코리아,2025-04-24,,취소,기획조정1팀,이서호,전화,,,
GS건설(주),2025-04-24,2025-05-22,취소,기획조정2팀,조민채,,,,"https://task-api.office.hiworks.com/v1/attached-files/680afb21da43d57ba5fb26c0/download, https://task-api.office.hiworks.com/v1/attached-files/680afb25da43d57ba5fb26c3/download"
한화생명,2025-04-25,2025-07-01,진행 완료,기획조정1팀,이서호,홈페이지,,,
밸류플러스 전략사업본부,2025-04-25,,취소,기획조정1팀,이서호,홈페이지,,,
송암스페이스센터,2025-04-25,2025-07-29,취소,기획조정2팀,조민채,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6814248455424e308610b7b1/download, https://task-api.office.hiworks.com/v1/attached-files/6814248755424e308610b7b4/download"
루다큐어,2025-04-28,2025-06-25,진행 완료,기획조정2팀,문서인,개인,,,
한국수력원자력(협업),2025-04-28,,진행 완료,기획조정2팀,"안광열, 조민채, 문서인",개인,,,"https://task-api.office.hiworks.com/v1/attached-files/680efd53da43d57ba5fb35bc/download, https://task-api.office.hiworks.com/v1/attached-files/680efd53da43d57ba5fb35bd/download"
한국문학번역원,2025-04-30,,취소,기획조정팀,이서호,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68415726a38a5853dd14466a/download, https://task-api.office.hiworks.com/v1/attached-files/68415726a38a5853dd14466b/download"
고려비엔피,2025-04-30,,취소,기획조정1팀,이서호,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68415765256af950c32ca6c4/download, https://task-api.office.hiworks.com/v1/attached-files/68415765256af950c32ca6c5/download"
디케이헬스케어,2025-04-30,2025-05-15,진행 완료,기획조정2팀,조민채,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/6821accd55424e3086110c85/download, https://task-api.office.hiworks.com/v1/attached-files/6821acd255424e3086110c87/download"
kt cloud(기업문화 프로그램),2025-04-25,,진행 완료,기획조정1팀,조민채,,,,"https://task-api.office.hiworks.com/v1/attached-files/68a4070d61458034827d9ce1/download, https://task-api.office.hiworks.com/v1/attached-files/68a4070d61458034827d9ce2/download, https://task-api.office.hiworks.com/v1/attached-files/68a4070d61458034827d9ce3/download, https://task-api.office.hiworks.com/v1/attached-files/68a4070d61458034827d9ce4/download"
한국보육진흥원,2025-05-02,2025-05-21,진행 완료,기획조정2팀,"안광열, 문서인",홈페이지,,,
지아이티,2025-05-07,,연기,기획조정팀,이서호,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68415788256af950c32ca6cb/download, https://task-api.office.hiworks.com/v1/attached-files/68415788256af950c32ca6cc/download"
한국과학창의재단,2025-05-07,2025-05-28,진행 완료,기획조정팀,,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/681c6477fdc93e5fae78a4b7/download, https://task-api.office.hiworks.com/v1/attached-files/681c648f55424e308610e927/download"
현대엔지니어링,2025-05-07,,취소,기획조정2팀,,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/681c15f055424e308610e0ad/download, https://task-api.office.hiworks.com/v1/attached-files/681c15f055424e308610e0ae/download"
삼성메디슨,2025-05-07,2025-06-19,진행 완료,기획조정2팀,문서인,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/681bf93ffdc93e5fae789ba7/download, https://task-api.office.hiworks.com/v1/attached-files/681bf94efdc93e5fae789baa/download"
쿠팡,2025-05-08,,취소,기획조정1팀,이서호,홈페이지,,,
메타넷 그룹,2025-05-09,,취소,기획조정2팀,조민채,,,,"https://task-api.office.hiworks.com/v1/attached-files/6821ace3fdc93e5fae78c6d5/download, https://task-api.office.hiworks.com/v1/attached-files/6821ace708b34f35a515f071/download"
삼성물산,2025-05-08,,취소,기획조정2팀,문서인,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/681d655e55424e308610f291/download, https://task-api.office.hiworks.com/v1/attached-files/681d656655424e308610f298/download"
환경안전기술원,2025-05-12,2025-06-13,진행 완료,기획조정2팀,조민채,카카오톡,,,"https://task-api.office.hiworks.com/v1/attached-files/6821acfb08b34f35a515f076/download, https://task-api.office.hiworks.com/v1/attached-files/6821acfe55424e3086110c91/download"
카카오모빌리티,2025-05-12,2025-06-17,취소,기획조정1팀,이서호,홈페이지,,,
에코디엠랩(주),2025-05-13,2025-07-29,진행 완료,기획조정1팀,이서호,전화,,,
(주)코너스톤인터랙티브,2025-05-13,2025-05-29,진행 완료,기획조정2팀,조민채,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6822dac3fdc93e5fae78d411/download, https://task-api.office.hiworks.com/v1/attached-files/6822dac6fdc93e5fae78d415/download"
삼성전자(구미),2025-05-13,,취소,기획조정1팀,이서호,홈페이지,,,
코스모코스,2025-05-13,,연기,기획조정2팀,문서인,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6836a7109129b633903fe829/download, https://task-api.office.hiworks.com/v1/attached-files/6836a7179129b633903fe82b/download"
지엠네트웍스,2025-05-14,,취소,기획조정팀,,카카오톡,,,
지역문화진흥원,2025-05-15,,취소,기획조정1팀,이서호,전화,,,
합천군시설관리공단,2025-05-15,2025-05-26,진행 완료,기획조정1팀,"여운정, 이서호",홈페이지,,,
쌍용종합사회복지관,2025-05-15,,취소,기획조정2팀,여운정,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/686c75605894f56c0e99b002/download, https://task-api.office.hiworks.com/v1/attached-files/686c75605894f56c0e99b003/download"
서울시 자원봉사센터,2025-05-15,,취소,기획조정2팀,"이서호, 여운정",홈페이지,,,
도드람양돈서비스,2025-05-15,,취소,기획조정팀,,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6825b30d9713fd550f5d82f0/download, https://task-api.office.hiworks.com/v1/attached-files/6825b30d9713fd550f5d82f1/download"
아이디헤어 주엽2호점,2025-05-16,,취소,기획조정1팀,이서호,홈페이지,,,
우리자산신탁,2025-05-16,,취소,기획조정2팀,문서인,홈페이지,,,
무기명(F&B),2025-05-16,,취소,기획조정2팀,조민채,전화,,,https://task-api.office.hiworks.com/v1/attached-files/682bee0ed2e9bd6f3edd4b73/download
환경안전기술원,2025-05-16,2025-06-12,취소,기획조정2팀,조민채,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/682d712e51a9fd0f780ee46c/download, https://task-api.office.hiworks.com/v1/attached-files/682d714b9713fd550f5dbeeb/download"
무기명(메타아트홀 예약),2025-05-19,,취소,기획조정팀,안광열,홈페이지,,,
무기명(충남 아산시),2025-05-19,,취소,기획조정2팀,조민채,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/682bea9cb4c9b52425fd9f5f/download, https://task-api.office.hiworks.com/v1/attached-files/682beaa0b4c9b52425fd9f61/download"
한국수력원자력,2025-05-16,2025-06-20 10:00,진행 완료,기획조정팀,"안광열, 이서호",개인,,,
금융결제원,2025-05-20,2025-06-16,진행 완료,,"안광열, 이서호",홈페이지,,,
세광종합기술단,2025-05-20,,취소,기획조정2팀,조민채,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/682d715c51a9fd0f780ee46f/download, https://task-api.office.hiworks.com/v1/attached-files/682d71609713fd550f5dbeed/download"
라온넥스텝,2025-05-21,,취소,기획조정2팀,조민채,전화,,,
성남시장애인종합복지관,2025-05-21,,연기,기획조정1팀,여운정,홈페이지,,,
한국지적발달장애인복지협회,2025-05-21,2025-06-11,진행 완료,기획조정1팀,여운정,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/684157eb256af950c32ca6d3/download, https://task-api.office.hiworks.com/v1/attached-files/684157eb256af950c32ca6d4/download"
굿네이버스,2025-03-12,2025-06-30,진행 완료,,문서인,,,,https://task-api.office.hiworks.com/v1/attached-files/68677a28a3d8e20dedbad70d/download
SK케미칼,2025-05-22,2025-06-23,취소,기획조정팀,"안광열, 조민채",전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68354b43500dc948b1b5e595/download, https://task-api.office.hiworks.com/v1/attached-files/68354b43500dc948b1b5e596/download"
인사이터,2025-05-26,,취소,기획조정2팀,조민채,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/6836aa7d7c34fd1e5672481b/download, https://task-api.office.hiworks.com/v1/attached-files/6836aa7d7c34fd1e5672481c/download"
주식회사 밋,2025-05-27,2025-06-06,진행 완료,기획조정2팀,문서인,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6835258f4362fc41c4535f71/download, https://task-api.office.hiworks.com/v1/attached-files/683525970684cb1648d506e3/download"
미원스페셜티케미칼(주),2025-05-27,2025-08-21,취소,기획조정1팀,조민채,카카오톡,,,"https://task-api.office.hiworks.com/v1/attached-files/68356a2a18072d1a70428d3a/download, https://task-api.office.hiworks.com/v1/attached-files/68356a33500dc948b1b5e95c/download"
한국수력원자력,2025-05-27,2025-07-25,진행 완료,기획조정2팀,문서인,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/684127cd227853018b8dc346/download, https://task-api.office.hiworks.com/v1/attached-files/684127d3227853018b8dc34a/download"
아이에프엠일렉트로닉,2025-05-26,2025-07-11,진행 완료,기획조정2팀,문서인,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6836a6119129b633903fe7e9/download, https://task-api.office.hiworks.com/v1/attached-files/6836a6149129b633903fe7ec/download"
현대오토에버,2025-05-27,2025-06-12,취소,기획조정2팀,문서인,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6836a66d7c34fd1e5672478e/download, https://task-api.office.hiworks.com/v1/attached-files/6836a6d79129b633903fe81e/download"
강원도 사회복지사협회 춘천시지회,2025-05-28,2025-07-16,진행 완료,기획조정2팀,여운정,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/684189cd227853018b8dcb76/download, https://task-api.office.hiworks.com/v1/attached-files/684189cd227853018b8dcb77/download"
나니아랩스,2025-05-28,2025-06-26,취소,기획조정2팀,조민채,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68367ece7c34fd1e567243e0/download, https://task-api.office.hiworks.com/v1/attached-files/68367ece7c34fd1e567243e1/download"
사랑밭,2025-05-28,,취소,기획조정2팀,"문서인, 조민채",홈페이지,,,
동해시 청소년수련관,2025-05-22,,연기,기획조정팀,,전화,,,
온앤미,2025-05-28,2025-11-01,연기,기획조정2팀,여운정,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/684634f698fb192a8173fc05/download, https://task-api.office.hiworks.com/v1/attached-files/684634f698fb192a8173fc06/download"
sk케미칼,2025-05-28,2025-07-17,진행 완료,기획조정2팀,"안광열, 문서인, 조민채",홈페이지,,,
(재)강원정보문화산업진흥원,2025-05-28,2025-07-14,진행 완료,기획조정2팀,여운정,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6846349db9a31154f2b46f67/download, https://task-api.office.hiworks.com/v1/attached-files/6846349db9a31154f2b46f68/download"
한국오츠카제약,2025-05-29,2025-07-11,취소,기획조정2팀,조민채,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68394bd8227853018b8d98ff/download, https://task-api.office.hiworks.com/v1/attached-files/68394bd8227853018b8d9900/download"
에스비이엔지,2025-05-29,2025-06-27,취소,기획조정1팀,이서호,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6837eb1f9129b633903ff5e7/download, https://task-api.office.hiworks.com/v1/attached-files/6837eb1f9129b633903ff5e8/download"
LG CNS_2차,2025-05-28,2025-06-26,진행 완료,기획조정1팀,이서호,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/6837c4459129b633903ff36b/download, https://task-api.office.hiworks.com/v1/attached-files/6837c4459129b633903ff36c/download"
AWS,2025-05-29,2025-07-04,진행 완료,기획조정팀,안광열,홈페이지,,,
현대오토에버,2025-05-30,2025-07-18 13:00,진행 완료,기획조정팀,이서호,카카오톡,,,"https://task-api.office.hiworks.com/v1/attached-files/685e1effb0a85c5732c3825d/download, https://task-api.office.hiworks.com/v1/attached-files/685e1effb0a85c5732c3825e/download"
제물포고등학교,2025-05-30,2025-07-18,취소,기획조정1팀,,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/684633c1b9a31154f2b46f53/download, https://task-api.office.hiworks.com/v1/attached-files/684633c1b9a31154f2b46f54/download"
프레인글로벌,2025-05-30,2025-07-02,취소,기획조정1팀,조민채,,,,"https://task-api.office.hiworks.com/v1/attached-files/683fdeef227853018b8db654/download, https://task-api.office.hiworks.com/v1/attached-files/683fdeef227853018b8db655/download, https://task-api.office.hiworks.com/v1/attached-files/68677a505894f56c0e998df8/download"
한국수력원자력(6월24일),2025-05-30,2025-06-24,진행 완료,기획조정팀,"안광열, 이서호",홈페이지,,,
한국수력원자력(6월30일),2025-05-30,2025-06-30,진행 완료,기획조정팀,"안광열, 이서호",홈페이지,,,
(주)소프트캠프,2025-06-02,,취소,기획조정2팀,여운정,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68418a00227853018b8dcb7a/download, https://task-api.office.hiworks.com/v1/attached-files/68418a00227853018b8dcb7b/download"
안진회계법인,2025-06-04,2025-06-09,취소,기획조정2팀,여운정,카카오톡,,,"https://task-api.office.hiworks.com/v1/attached-files/684632cd227853018b8dd1cb/download, https://task-api.office.hiworks.com/v1/attached-files/684632cd227853018b8dd1cc/download"
대학내일,2025-06-04,2025-08-22,취소,기획조정팀,이서호,카카오톡,,,"https://task-api.office.hiworks.com/v1/attached-files/683fefe0339bf558564939be/download, https://task-api.office.hiworks.com/v1/attached-files/683fefe0339bf558564939bf/download"
비티씨 커뮤니케이션즈,2025-06-04,2025-07-11,취소,기획조정1팀,"안광열, 조민채",카카오톡,,,"https://task-api.office.hiworks.com/v1/attached-files/68415748227853018b8dc9b9/download, https://task-api.office.hiworks.com/v1/attached-files/68415748227853018b8dc9ba/download"
아스텔라스,2025-06-05,2025-07-10,진행 완료,기획조정2팀,여운정,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/685de3cae4e6ec23603dbed1/download, https://task-api.office.hiworks.com/v1/attached-files/685de3cae4e6ec23603dbed2/download"
KCL 노동조합,2025-06-05,,취소,기획조정팀,,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68415d0a98fb192a8173f499/download, https://task-api.office.hiworks.com/v1/attached-files/68415d0a98fb192a8173f49a/download"
하나손해보험,2025-06-05,2025-07-09,취소,기획조정1팀,조민채,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6846a91eb784a7369aff0ead/download, https://task-api.office.hiworks.com/v1/attached-files/685de2b88236b50d0f771b8e/download"
LG에너지솔루션,2025-06-09,2025-07-01,취소,기획조정1팀,조민채,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6846a90e98fb192a81740aba/download, https://task-api.office.hiworks.com/v1/attached-files/6846a90e98fb192a81740abb/download"
한성아이디,2025-06-09,2025-06-26,취소,기획조정1팀,조민채,전화,,,
농협손해보험,2025-05-22,2025-09-15,진행 완료,기획조정1팀,조민채,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/688035f61c3ca77b88c36350/download, https://task-api.office.hiworks.com/v1/attached-files/68db35e36e049e1b77376d50/download"
GFFG,2025-06-09,2025-06-17,취소,기획조정2팀,문서인,카카오톡,,,
쿠팡풀필먼트서비스,2025-06-09,2025-07-23,취소,기획조정2팀,여운정,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68477a2aeddd2a6bc1e47f89/download, https://task-api.office.hiworks.com/v1/attached-files/68477a2aeddd2a6bc1e47f8a/download"
서울특별시보라매병원,2025-06-09,2025-07-30,진행 완료,기획조정2팀,이서호,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6847984798fb192a817410b9/download, https://task-api.office.hiworks.com/v1/attached-files/6847984798fb192a817410ba/download, https://task-api.office.hiworks.com/v1/attached-files/685e005ee4e6ec23603dc289/download"
정부청사관리본부,2025-06-09,,취소,기획조정2팀,,전화,,,
메가스터디교육,2025-06-09,2025-06-25,취소,기획조정1팀,이서호,홈페이지,,,
특허법인 부경,2025-06-10,2025-07-08,진행 완료,기획조정1팀,"안광열, 조민채",홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68677ae95894f56c0e998e0b/download, https://task-api.office.hiworks.com/v1/attached-files/68a4076b81c6ca48311b5874/download"
롯데면세점,2025-06-17,2025-08-25,진행 완료,기획조정팀,"이서호, 안광열",홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/684fd41998fb192a817455d9/download, https://task-api.office.hiworks.com/v1/attached-files/684fd41998fb192a817455da/download"
한국피앤지,2025-06-10,,연기,기획조정1팀,이서호,홈페이지,,,
현대이지웰,2025-06-10,,취소,기획조정팀,,홈페이지,,,
한국문화예술교육진흥원,2025-06-11,2025-06-24,진행 완료,기획조정2팀,여운정,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6848e9fad6127804840e49a9/download, https://task-api.office.hiworks.com/v1/attached-files/6848e9fad6127804840e49aa/download"
현대오토에버,2025-06-11,2025-07-10,진행 완료,기획조정2팀,문서인,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6853689d918db17caa3aeaa3/download, https://task-api.office.hiworks.com/v1/attached-files/685368a433a37b7e8815e7f8/download"
한국사회보장정보원,2025-06-11,2025-06-26,진행 완료,기획조정2팀,여운정,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/68512f18be5fe07ccdc187a0/download, https://task-api.office.hiworks.com/v1/attached-files/686222e3e4e6ec23603dd936/download"
한국가스기술공사,2025-06-11,2025-07-28,진행 완료,기획조정2팀,이서호,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/684a7ac798fb192a81742fcf/download, https://task-api.office.hiworks.com/v1/attached-files/684a7ac798fb192a81742fd0/download"
마이스팩토리,2025-06-11,2025-07-15,취소,기획조정2팀,여운정,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/6851305965f40e16f253a13b/download, https://task-api.office.hiworks.com/v1/attached-files/6851305965f40e16f253a13c/download"
케미스타,2025-06-11,,취소,기획조정2팀,문서인,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/684bd6a2227853018b8e17b6/download, https://task-api.office.hiworks.com/v1/attached-files/684bd6a2227853018b8e17b7/download"
한국보육진흥원(7/9),2025-06-11,2025-07-09,진행 완료,기획조정팀,안광열,개인,,,
위버스 컴퍼니,2025-06-11,2025-06-26,진행 완료,기획조정1팀,"안광열, 이서호, 여운정",홈페이지,,,
위버스 컴퍼니,2025-06-12,2025-06-26,진행 완료,기획조정1팀,"안광열, 이서호",홈페이지,,,
한국수력원자력(7월 15일),2025-06-12,2025-07-15,진행 완료,기획조정1팀,안광열,홈페이지,,,
가평힐링스테이파크,2025-06-13,2025-07-11,진행 완료,기획조정1팀,조민채,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/6864d34a9a5b54631826e843/download, https://task-api.office.hiworks.com/v1/attached-files/6864d34a9a5b54631826e844/download"
벤츠코리아,2025-06-13,2025-06-27,진행 완료,기획조정2팀,여운정,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6850bbd6227853018b8e327c/download, https://task-api.office.hiworks.com/v1/attached-files/6850bbd6227853018b8e327d/download"
HD현대미포,2025-06-16,,취소,기획조정1팀,"안광열, 조민채",홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68677b44a3d8e20dedbad732/download, https://task-api.office.hiworks.com/v1/attached-files/68677b44a3d8e20dedbad733/download"
인천광역시 간호사회,2025-06-16,2025-10-28,진행 완료,기획조정팀,이서호,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/684fce3f98fb192a81745515/download, https://task-api.office.hiworks.com/v1/attached-files/684fce3f98fb192a81745516/download, https://task-api.office.hiworks.com/v1/attached-files/689afad881c6ca48311b2d5c/download, https://task-api.office.hiworks.com/v1/attached-files/689afad881c6ca48311b2d5d/download"
한양대학교병원,2025-06-16,2025-07-03,취소,기획조정2팀,여운정,,,,"https://task-api.office.hiworks.com/v1/attached-files/68512c89be5fe07ccdc1874e/download, https://task-api.office.hiworks.com/v1/attached-files/68512c89be5fe07ccdc1874f/download"
도쿄일렉트론코리아,2025-06-16,2025-06-27,진행 완료,기획조정팀,이서호,카카오톡,,,"https://task-api.office.hiworks.com/v1/attached-files/684fc65e227853018b8e2ad3/download, https://task-api.office.hiworks.com/v1/attached-files/684fc65e227853018b8e2ad4/download"
현대오토에버(도미노팀빌딩),2025-06-16,2025-07-24,진행 완료,기획조정2팀,문서인,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/685368c633a37b7e8815e7fb/download, https://task-api.office.hiworks.com/v1/attached-files/685368cc85606115a79e93d9/download"
이지앤웰니스(대대행),2025-06-17,2025-08-14,진행 완료,기획조정팀,이서호,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/686cfc2ae9fd8c52ee1a17a8/download, https://task-api.office.hiworks.com/v1/attached-files/686cfc2ae9fd8c52ee1a17a9/download"
엠앤씨커뮤니케이션즈,2025-06-18,2025-07-08,진행 완료,기획조정팀,이서호,개인,,,"https://task-api.office.hiworks.com/v1/attached-files/6853be6733a37b7e8815f038/download, https://task-api.office.hiworks.com/v1/attached-files/6853be6733a37b7e8815f039/download"
한미의원연맹,2025-06-19,,취소,기획조정1팀,조민채,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/68677bef5894f56c0e998e44/download, https://task-api.office.hiworks.com/v1/attached-files/68677bef5894f56c0e998e45/download"
